,summary_ch-0_quantile-0.9,summary_ch-0_quantile-0.5,summary_ch-0_quantile-0.1,summary_ch-0_mean,summary_ch-0_std,summary_ch-1_quantile-0.9,summary_ch-1_quantile-0.5,summary_ch-1_quantile-0.1,summary_ch-1_mean,summary_ch-1_std,summary_ch-2_quantile-0.9,summary_ch-2_quantile-0.5,summary_ch-2_quantile-0.1,summary_ch-2_mean,summary_ch-2_std
914,0.9019607901573181,0.8627451062202454,0.7450980544090271,0.8356133,0.09375965,0.8313725590705872,0.7490196228027344,0.6117647290229797,0.7290455,0.10562478,0.8901960849761963,0.8470588326454163,0.7686274647712708,0.8333334,0.06784828
915,0.9058823585510254,0.8666666746139526,0.7647058963775635,0.8415883,0.09065133,0.8313725590705872,0.7490196228027344,0.6196078658103943,0.7298581,0.10374198,0.8941176533699036,0.8549019694328308,0.7803921699523926,0.83999115,0.06583041
916,0.8980392217636108,0.8588235378265381,0.7450980544090271,0.8321295,0.095106274,0.8117647171020508,0.729411780834198,0.5960784554481506,0.71001804,0.104573496,0.886274516582489,0.8470588326454163,0.7686274647712708,0.831793,0.067525
917,0.8941176533699036,0.843137264251709,0.658823549747467,0.8098681,0.10868746,0.7882353067398071,0.6980392336845398,0.5137255191802979,0.673943,0.114460714,0.8784313797950745,0.8313725590705872,0.7176470756530762,0.8117987,0.07595828
918,0.8980392217636108,0.8549019694328308,0.7058823704719543,0.8220273,0.105539754,0.800000011920929,0.7137255072593689,0.5529412031173706,0.6923181,0.11176033,0.8823529481887817,0.8392156958580017,0.7411764860153198,0.8218288,0.07331655
919,0.8941176533699036,0.8588235378265381,0.7372549176216125,0.8331587,0.08843302,0.7921568751335144,0.729411780834198,0.5843137502670288,0.7063585,0.09637605,0.8784313797950745,0.8470588326454163,0.7607843279838562,0.830611,0.060857747
920,0.9019607901573181,0.8627451062202454,0.7176470756530762,0.8334505,0.100305006,0.8039215803146362,0.7372549176216125,0.5764706134796143,0.7119179,0.10680263,0.886274516582489,0.8509804010391235,0.7529411911964417,0.83268815,0.068728946
921,0.9137254953384399,0.8666666746139526,0.7019608020782471,0.83494526,0.1066691,0.8274509906768799,0.7411764860153198,0.5607843399047852,0.7162411,0.11792304,0.8980392217636108,0.8549019694328308,0.7490196228027344,0.83488435,0.07605057
922,0.9176470637321472,0.8745098114013672,0.7254902124404907,0.8444551,0.10116377,0.8352941274642944,0.7490196228027344,0.5843137502670288,0.7255427,0.11186533,0.9019607901573181,0.8588235378265381,0.7568627595901489,0.8407581,0.072130546
923,0.9254902005195618,0.8784313797950745,0.7529411911964417,0.8521679,0.09769344,0.8627451062202454,0.7607843279838562,0.6000000238418579,0.7424085,0.1146244,0.9137254953384399,0.8627451062202454,0.7686274647712708,0.84776676,0.072790876
924,0.929411768913269,0.8823529481887817,0.7411764860153198,0.8523625,0.1008065,0.8705882430076599,0.7686274647712708,0.6000000238418579,0.74816895,0.11856918,0.9176470637321472,0.8666666746139526,0.7686274647712708,0.84998125,0.07590713
925,0.9372549057006836,0.886274516582489,0.7529411911964417,0.86015916,0.09567087,0.8941176533699036,0.7882353067398071,0.6117647290229797,0.7670844,0.1195492,0.929411768913269,0.8745098114013672,0.772549033164978,0.8586637,0.07386547
989,0.95686274766922,0.9254902005195618,0.8196078538894653,0.89534205,0.099641375,0.9490196108818054,0.8588235378265381,0.6980392336845398,0.8337278,0.12099802,0.9529411792755127,0.9098039269447327,0.8196078538894653,0.89207757,0.07459418
